snap out of it,get out of it,צאי מזה
you want a shotgun,want me to,רוצה שאכטה
I &apos;m so sorry,I &apos;m really sorry,אני ממש מצטערת
I &apos;m a prostitute,I &apos;m a whore,אני זונה
&apos; &apos; I Iove you &apos; &apos;,&quot; I love you &quot;,&quot; אני אוהב אותך &quot;
I know what you &apos;re thinking,I know what you think,אני יודעת מה אתה חושב
just like old times,like old times,כמו פעם
what am I gonna do,what do I do,מה אעשה
don &apos;t you recognize me,you don &apos;t recognize me,אתה לא מזהה אותי
where have you been,where were you,איפה היית
it &apos;s not right,it &apos;s not okay,זה לא בסדר
what is that thing,what &apos;s that thing,מה זה הדבר הזה
nice to meet you,it &apos;s very nice to meet,נעים מאוד
nice to meet you,it &apos;s very nice to meet,נעים מאוד
he &apos;s a nice man,he loved me,הוא אדם נחמד
and what does she do,and what &apos;s she doing,ומה היא עושה
who are you talking to,who are you talking about,עם מי את מדברת
what do you expect,why did you expect,למה ציפית
that &apos;s what I am,that &apos;s what I &apos;m,זה מה שאני
listen to me a second,listen to what,תקשיב לי לרגע
I can &apos;t believe it,it &apos;s hard to believe that,קשה לי להאמין
we could &apos;ve been killed,we could have been killed,יכולנו להיהרג
we &apos;ll go out,get out,נצא
we don &apos;t have a choice,we have no choice,אין לנו ברירה
stay out of this,don &apos;t come any closer,אל תתערב
what do you say,what are you saying,מה אתה אומר
we don &apos;t walk away,we &apos;re not running away,אנחנו לא בורחים
this isn &apos;t a game,it &apos;s not a game,זה לא משחק
there &apos;s too many of them,they &apos;re too,הם יותר מדי
what are we gonna do,what do we do,מה נעשה
we &apos;ll be fine,we &apos;ll be all right,נהיה בסדר
that &apos;s my father,it &apos;s my father,זה אבי
it &apos;s not impossible,it &apos;s not okay,זה לא בלתי אפשרי
you have no idea,you have no idea how much,אין לך מושג כמה
come to think of it,when I think about it,כשאני חושב על זה
that &apos;s all I got,it &apos;s all I have,זה כל מה שיש לי
you gotta kill me,you have to kill me,אתה חייב להרוג אותי
stay out of this,don &apos;t come any closer,אל תתערב
why didn &apos;t you tell us this before,why didn &apos;t tell,למה לא סיפרת לנו את זה קודם
can you hear me,do you hear me,אתה שומע אותי
I can see that,I can see it,אני יכולה לראות את זה
don &apos;t you talk to me like that,don &apos;t talk to me like that,אל תדבר אלי כך
she &apos;ll be fine,she &apos;s gonna be okay,היא תהיה בסדר
that &apos;s a start,it &apos;s a start,זאת התחלה
she &apos;ll be fine,she &apos;s gonna be okay,היא תהיה בסדר
I &apos;ll get it,I &apos;ll fix it,אני אסדר את זה
I have no family,I don &apos;t have a family,אין לי משפחה
I have nothing to wear,I don &apos;t have anything to wear,אין לי מה ללבוש
this is the happiest day of my life,it &apos;s the happiest day of my life,זה היום המאושר בחיי
what did they do to her,what have they done to her,מה הם עשו לה
he &apos;ll be fine,he &apos;s gonna be okay,הוא יהיה בסדר
I &apos;d been drinking,I &apos;ve been drinking,שתיתי
did you buy it,did you get it,קנית אותה
first time for everything,there &apos;s a first for everything,יש פעם ראשונה לכל דבר
I don &apos;t want to hurt you,I don &apos;t want to see,אני לא רוצה לפגוע בך
it could &apos;ve been worse,could be worse,יכול היה להיות יותר גרוע
if that &apos;s the way you feel,if that &apos;s how you feel,אם כך את מרגישה
it &apos;ll be fine,it &apos;s gonna be okay,זה יהיה בסדר
I did what you asked,I did something,עשיתי מה שביקשת
the Son and the Holy Spirit,and the Holy Spirit,הבן ורוח הקודש
what &apos;s going on,what &apos;s going on here,מה קורה פה
I &apos;ll be fine,I &apos;ll be all right,אני אהיה בסדר
I shouldn &apos;t have said that,I didn &apos;t need to say that,לא הייתי צריכה לומר זאת
you think that &apos;s funny,you think it &apos;s funny,אתה חושב שזה מצחיק
that &apos;s not true,it &apos;s not true,זה לא נכון
I can &apos;t believe it,I don &apos;t believe it,אני לא מאמינה
who &apos;s it from,who &apos;s it,ממי זה
what &apos;s she like,how is she,איך היא
how are you holding up,how do you know her,איך את מחזיקה מעמד
I should get back,I need to get back,אני צריכה לחזור
I can &apos;t believe it,I don &apos;t believe it,אני לא מאמינה
what difference does it make,what does it matter,מה זה משנה
I &apos;d rather not,I &apos;d rather you didn &apos;t,אני מעדיפה שלא
what &apos;d they say to you,what did they tell you,מה הם אמרו לך
what &apos;d you give him,what did you give him,מה נתת לו
how much do you have,how much money you got,כמה כסף יש לך
something was in there,there was something there,היה שם משהו
I can do that,I can do it,אני יכול לעשות זאת
you ain &apos;t got a chance,you don &apos;t have a chance,אין לך סיכוי
what the hell is going on,what the hell &apos;s going on here,מה לעזאזל קורה כאן
I &apos;m coming out,I &apos;m going out,אני יוצא החוצה
where &apos;s your car,where &apos;s the party,איפה המכונית שלך
what &apos;s going on,what &apos;s going on here,מה קורה כאן
don &apos;t do that,don &apos;t do it,אל תעשה את זה
what &apos;s going on,what &apos;s going on here,מה קורה כאן
it doesn &apos;t make sense,it doesn &apos;t make any sense,זה לא הגיוני
how are you feeling,how do you feel,איך אתה מרגיש
you don &apos;t have any friends,you have no friends,אין לך חברים
what &apos;s going on,what &apos;s going on in there,מה קורה שם
is that a crime,it &apos;s a crime,זה פשע
are you out of your mind,you &apos;re out of your mind,יצאת מדעתך
are you out of your mind,you &apos;re out of your mind,יצאת מדעתך
are you out of your mind,you &apos;re out of your mind,יצאת מדעתך
here &apos;s our man,that &apos;s our man,זה האיש שלנו
don &apos;t be silly,don &apos;t be stupid,אל תיהיה טיפש
what do you got,what do you have,מה יש לך
look what I brought you,look what I got you,תראי מה הבאתי לך
what do you got,what do you have,מה יש לך
I don &apos;t want it,I don &apos;t want her,אני לא רוצה אותה
look what I brought you,look what I got you,תראי מה הבאתי לך
don &apos;t be nervous,don &apos;t panic,אל תילחץ
I don &apos;t feel well,I don &apos;t feel good,אני לא מרגיש טוב
that was uncalled for,it wasn &apos;t right,זה לא היה נחוץ
how should I know,how do I know,מאיפה לי לדעת
how does that sound,how &apos;s that sound,איך זה נשמע
how are you feeling,how do you feel,איך אתה מרגיש
I can &apos;t take it anymore,I can &apos;t anymore,אני לא יכול יותר
I &apos;ll miss you,I &apos;m gonna miss you,אני אתגעגע אליך
did you hear that,did you hear,שמעת
we &apos;ve got a lot to do,we have a lot of what to do,יש לנו הרבה מה לעשות
just a little longer,just a little more,רק עוד קצת
one and a half,once and for all,אחת וחצי
we &apos;ll be fine,we &apos;ll be all right,נהיה בסדר
I am in charge,I &apos;m in charge,אני האחראית
and we &apos;re not,and we don &apos;t,ואנחנו לא
that &apos;s not a good idea,it &apos;s not a good idea,זה לא רעיון טוב
what are we gonna do,what do we do,מה נעשה
that &apos;d be great,it &apos;s gonna be great,זה יהיה נהדר
that &apos;s a good sign,it &apos;s a good sign,זה סימן טוב
sorry I &apos;m late,I &apos;m sorry I &apos;m late,סליחה על האיחור
I &apos;ve got the money,I got it,יש לי את הכסף
everything &apos;s gonna be okay,it &apos;s gonna be all right,הכל יהיה בסדר
for the second time,the second time,בפעם השנייה
where do you live,where you live,איפה אתה גר
do you have a home,you have a house,יש לך בית
I don &apos;t have to,I don &apos;t need,אני לא צריך
I &apos;m a boy,I &apos;m a kid,אני ילד
that &apos;s my job,it &apos;s my job,זה התפקיד שלי
that &apos;s my car,it &apos;s my car,זה הרכב שלי
we don &apos;t have any children,we don &apos;t have kids,אין לנו ילדים
I don &apos;t get it,not the problem,לא הבנתי
you bet l am,be sure of it,תהיי בטוחה בזה
how would you know,how do you know,מאיפה לך לדעת
that &apos;s not fair,it &apos;s not fair,זה לא הוגן
you just can &apos;t,you &apos;re just scared,את פשוט לא יכולה
are the kids okay,the kids are fine,הילדים בסדר
how &apos;s your dad,what &apos;s your dad,מה שלום אבא שלך
he &apos;ll be fine,he &apos;s gonna be okay,הוא יהיה בסדר
do you have any plans,you have plans,יש לך תוכניות
you know what I mean,if you know what I mean,אם את מבינה למה אני מתכוון
nice to meet you,it was nice to meet you,היה נחמד להכיר אותך
I have an announcement to make,I have a message,יש לי הודעה
sorry I &apos;m late,I &apos;m sorry I &apos;m late,סליחה על האיחור
it &apos;s not right,it &apos;s not okay,זה לא בסדר
that &apos;s what she says,that &apos;s what they are,זה מה שהיא אומרת
I &apos;m gonna come find you,I &apos;ll come find you,אני אבוא לחפש אותך
have a good day,you have a good day,שיהיה לך יום טוב
he &apos;s not in right now,he &apos;s not here right now,הוא לא נמצא כרגע
I don &apos;t feel like it,I don &apos;t want to,לא בא לי
that &apos;s a good idea,it &apos;s a good idea,זה רעיון טוב
do you have a minute,you got a minute,יש לך דקה
and it &apos;s true,and that &apos;s right,וזה נכון
is it always like this,it &apos;s always like this,זה תמיד ככה
what day is it,what day is today,איזה יום היום
do you know what that means,you know what that means,את יודעת מה זה אומר
I &apos;ve got it,I got it,זה אצלי
I don &apos;t want to do this,I don &apos;t want to do it,אני לא רוצה לעשות את זה
can you hear me,do you hear me,אתה שומע אותי
there &apos;s nothing to be sorry for,there &apos;s nothing to be sorry,אין על מה להצטער
I didn &apos;t mean to hurt anybody,I didn &apos;t mean to hurt anyone,לא התכוונתי לפגוע באף אחד
what makes you think that,what makes you think so,מה גורם לך לחשוב כך
is that what you &apos;re saying,that &apos;s what you say,זה מה שאתה אומר
if I understand it correctly,if I get it right,אם אני מבין נכון
we are at war,we &apos;re at war,אנחנו במלחמה
if that &apos;s what you &apos;re worried about,if that &apos;s what worries you,אם זה מה שמדאיג אותך
for the last time,the last time,בפעם האחרונה
you wouldn &apos;t do that,don &apos;t do it,לא תעשה את זה
what do you say,what are you saying,מה אתה אומר
that &apos;s a lie,it &apos;s a lie,זה שקר
of that I &apos;m sure,that I &apos;m sure,בזה אני בטוח
that will be all,that &apos;ll be all,זה יהיה הכל
how did you do it,how did you get it,איך הצלחת לעשות את זה
I won &apos;t allow it,I will not allow it,אני לא ארשה זאת
what &apos;s going on,what &apos;s going on here,מה קורה כאן
I haven &apos;t seen you in a while,I haven &apos;t seen you in a long time ago,לא ראיתי אותך מזמן
see you tomorrow morning,I &apos;ll see you tomorrow morning,נתראה מחר בבוקר
sorry I &apos;m late,I &apos;m sorry I &apos;m late,מצטערת שאיחרתי
it won &apos;t work,it &apos;s not gonna work,זה לא יעבוד
you have no authority,you have no authority here,אין לך סמכות כאן
can I give you a lift,can I offer you a ride,אפשר להציע לך טרמפ
you &apos;re my wife,my wife,את אשתי
are you out of your mind,are you crazy,האם השתגעת
I can &apos;t believe it,I don &apos;t believe it,אני לא מאמין
did you feel that,did you feel it,הרגשת את זה
that &apos;s the way it is,it &apos;s like that,ככה זה
nice to meet you,it &apos;s very nice to meet,נעים מאוד
and you &apos;re not,and you don &apos;t,ואת לא
it doesn &apos;t matter,it &apos;s not important,זה לא חשוב
what are we gonna do,what do we do,מה נעשה
you think it &apos;s true,do you think it &apos;s true,אתה חושב שזה נכון
I &apos;ll miss you,I &apos;m gonna miss you,אני אתגעגע אלייך
how do we do that,how do we do it,איך עושים את זה
it &apos;s nothing personal,it &apos;s not personal,זה לא אישי
I can &apos;t believe it,I don &apos;t believe it,אני לא מאמין
I can &apos;t believe it,I don &apos;t believe it,אני לא מאמין
I &apos;m so sorry,I &apos;m very sorry,צר לי מאוד
not even a little,not even a little bit,אפילו לא קצת
don &apos;t you see,you don &apos;t see,את לא רואה
how do you know,where are you,מאיפה את יודעת
I &apos;ll be fine,I &apos;ll be all right,אני אהיה בסדר
I don &apos;t know,don &apos;t know,לא יודעת
and then what happens,and then what &apos;s going on,ואז מה קורה
I &apos;d like to,I &apos;d like,הייתי רוצה
don &apos;t be silly,don &apos;t talk nonsense,אל תדברי שטויות
I don &apos;t know about that,I &apos;m not sure about that,אני לא בטוח בקשר לזה
I &apos;ll go first,I &apos;m gonna start,אני אתחיל
I wrote it down,I wrote it,כתבתי את זה
if it &apos;s okay with you,if it &apos;s all right,אם זה בסדר מצדך
you &apos;re gonna love this,you &apos;re gonna love it,את תמותי על זה
you sure you &apos;re okay,are you sure you know how,אתה בטוח שאתה בסדר
don &apos;t be silly,don &apos;t talk nonsense,אל תדבר שטויות
you &apos;re doing great,you &apos;re great,את נהדרת
what did she do,what she did,מה היא עשתה
what &apos;s my problem,what &apos;s wrong with me,מה הבעיה שלי
you want a drink,do you want something to drink,אתה רוצה לשתות משהו
only if you want to,only if you want,רק אם את רוצה
I don &apos;t know anymore,I don &apos;t know,אני כבר לא יודע
tell me the truth,tell the truth,תגידי את האמת
how have you been,how you doing,איך הסתדרת
that &apos;s much better,it &apos;s a lot better,זה הרבה יותר טוב
and that &apos;s the end of it,that &apos;s the end of the story,וזה סוף הסיפור
I &apos;ve been doing a lot of thinking,I &apos;ve been thinking a lot,חשבתי הרבה
it doesn &apos;t work that way,it doesn &apos;t work like that,זה לא עובד ככה
how does it work,how it works,איך זה עובד
I can &apos;t stop thinking of it,I can &apos;t stop thinking about it,אני לא יכולה להפסיק לחשוב על זה
this is a mistake,it &apos;s a mistake,זאת טעות
that &apos;s just great,it &apos;s just great,זה פשוט נהדר
I have to go back,I gotta get back,אני חייב לחזור
but I &apos;m not,but I don &apos;t,אבל אני לא
as far as I &apos;m concerned,as far as I know,למיטב ידיעתי
that &apos;s not true,it &apos;s not true,זה לא נכון
that &apos;d be great,it &apos;s gonna be great,זה יהיה נהדר
it &apos;s very pretty,it &apos;s very beautiful,זה מאוד יפה
does that bother you,it bothers you,זה מפריע לך
that &apos;s what I meant,that &apos;s what I mean,לזה התכוונתי
what &apos;s he like,how is he,איך הוא
I don &apos;t know,don &apos;t know,לא יודעת
no one will know,no one knew,אף אחד לא ידע
I can see that,I can see it,אני יכולה לראות את זה
I &apos;ll take that,I &apos;ll take it,אני אקח את זה
I haven &apos;t had time,I didn &apos;t have time,לא היה לי זמן
how long will that take,how long will it take,כמה זמן זה יקח
what were you thinking,what did you think,מה חשבת
do you think I &apos;m pretty,do you think I &apos;m beautiful,אתה חושב שאני יפה
he wouldn &apos;t do that,he won &apos;t do it,הוא לא יעשה את זה
are you in trouble,you &apos;re in trouble,את בצרות
no she won &apos;t,she wasn &apos;t,לא היא לא
this is too much,it &apos;s already too,זה כבר יותר מדי
I &apos;ve got to do something,I need to do something,אני צריך לעשות משהו
I didn &apos;t see you,I &apos;m not used to,אני לא ראיתי אותך
I don &apos;t think that &apos;s a good idea,I don &apos;t think it &apos;s a good idea,אני לא חושב שזה רעיון טוב
that &apos;s a good question,it &apos;s a good question,זאת שאלה טובה
I &apos;ve thought about it,I thought about it,חשבתי על זה
I &apos;ve been thinking about you,I was thinking about you,חשבתי עליך
what were you thinking,what did you think,מה חשבת
at the same time,the other day,באותו זמן
that &apos;s not what I,that &apos;s not what I &apos;m,זה לא מה שאני
you can tell me,can you tell me,אתה יכול להגיד לי
I &apos;ve got a problem,I have a problem,יש לי בעיה
I gotta make a phone call,I need to call,אני צריך להתקשר
can I see that,you can see it,אפשר לראות את זה
maybe some other time,maybe another time,אולי בפעם אחרת
it &apos;s all true,all right,הכל נכון
you are very kind,you &apos;re very kind,אתה אדיב מאד
what does all this mean,what &apos;s the meaning of this,מה המשמעות של כל זה
are you out of your mind,you &apos;re out of your mind,יצאת מדעתך
as you can see,as you see,כפי שאתם רואים
I didn &apos;t know you were here,I didn &apos;t know you &apos;re here,לא ידעתי שאתה כאן
what should we do,what about,מה עלינו לעשות
cut to the chase,get to the point,תגיע לעיקר
he doesn &apos;t care,don &apos;t care,לא אכפת לו
everything &apos;s gonna be okay,it &apos;s gonna be all right,הכל יהיה בסדר
that &apos;s a lie,it &apos;s a lie,זה שקר
you didn &apos;t answer my question,you haven &apos;t answered my question,לא ענית על שאלתי
I have a better idea,I got a better idea,יש לי רעיון טוב יותר
you got to get out,you gotta get out,אתה חייב לצאת
get your hands up,put your hands,הרם את ידיך
you &apos;re going outside,you &apos;re going out,אתה יוצא החוצה
I &apos;m coming out,I &apos;m going out,אני יוצא החוצה
you let me win,let me win,נתת לי לנצח
what does that mean,what is the meaning of this,מהי המשמעות של זה
I &apos;ll get it,I &apos;ll get,אני אביא
I &apos;ll kill you,I &apos;m gonna kill you,אני אהרוג אותך
I can &apos;t find it,I can &apos;t find him,אני לא מוצאת אותו
you want to go,do you want to go,אתה רוצה ללכת
I have a lot of work to do,I have a lot of work,יש לי הרבה עבודה
sorry I &apos;m late,I &apos;m sorry I &apos;m late,סליחה על האיחור
isn &apos;t that something,isn &apos;t that amazing,נכון שזה מדהים
can you believe it,can you believe,את יכולה להאמין
what took you so long,so long,כך הרבה זמן
I don &apos;t know,don &apos;t know,לא יודע
I &apos;ve been better,I &apos;ve had better days,היו לי ימים טובים יותר
that &apos;s nice of you,nice of you,יפה מצידך
it doesn &apos;t matter,it &apos;s not important,זה לא חשוב
for the first time,the first time,בפעם הראשונה
but she &apos;s not,but she didn &apos;t,אבל היא לא
wanna talk to me,want to talk to me,רוצה לדבר איתי
did I say anything,I said something,אמרתי משהו
but that &apos;s okay,but it &apos;s okay,אבל זה בסדר
I don &apos;t know,don &apos;t know,לא יודע
where &apos;s your father,where &apos;s your dad,איפה אבא שלך
did he talk to you,he talked to you,הוא דיבר איתך
I don &apos;t know,don &apos;t know,לא יודע
that &apos;s real funny,it &apos;s really funny,זה ממש מצחיק
where you been all day,where have you been all day,איפה היית כל היום
I don &apos;t know,don &apos;t know,לא יודע
you &apos;ll be OK,you &apos;ll be all right,תהיה בסדר
I can &apos;t go,I can &apos;t come,אני לא יכול לבוא
I &apos;m not gonna,I don &apos;t mean,אני לא מתכוון
I have to get out,I gotta get out,אני חייב לצאת
don &apos;t do that,don &apos;t do this to me,אל תעשה זאת
how &apos;s your dad,what &apos;s your dad,מה שלום אבא שלך
I don &apos;t know,don &apos;t know,לא יודע
is that what you want to hear,that &apos;s what you want to hear,זה מה שאתה רוצה לשמוע
I don &apos;t know,don &apos;t know,לא יודע
don &apos;t you remember,you don &apos;t remember,אתה לא זוכר
what &apos;s the matter with you,what &apos;s going on with you,מה קורה איתך
